geom,nombre_del_espacio,longitude,latitude,ano_de_apertura
POINT(-99.0784501850364 19.2483634679064),Cinema Axólotl,"-99,07845019","19,24836347",  2017081500000000000
POINT(-98.9961505199202 19.3422079800243),La Sabana de filmes,"-98,99615052","19,34220798",  2017083000000000000
POINT(-99.2056326612526 19.4735812989784),Escuela de Cronistas Carlos Monsiváis ,"-99,20563266","19,4735813",  2017100100000000000
POINT(-99.17733 19.4100606),Prevenidos Culturales,"-99,17733","19,4100606",  2017100800000000000
POINT(-99.1462896859735 19.4370298251757),Centro cultural José Martí ,"-99,14628969","19,43702983",  2018010100000000000
POINT(-99.0207656972723 19.2951450598932),Viendo LA VIDA CON ALEGRIA,"-99,0207657","19,29514506",  2018021600000000000
POINT(-99.1178247019177 19.4669556882105),Cineclub Torres del Parque ,"-99,1178247","19,46695569",  2018022300000000000
POINT(-99.1232456171112 19.4423635673701),Cine club Casa Barrio Tepito,"-99,12324562","19,44236357",  2018030300000000000
POINT(-99.194326320369 19.2869039228497),FORO ELEFANTE (Espacio de exhibición independiente autogestivo) ,"-99,19432632","19,28690392",  2018031600000000000
POINT(-99.0038624824947 19.2685597267041),Museo Regional Tláhuac,"-99,00386248","19,26855973",  2018041400000000000
POINT(-99.00745 19.2737371),Hacklab Feminista. La Chinampa.,"-99,00745","19,2737371",  2018042600000000000
POINT(-99.1965054781978 19.3322191555431),Cine club Filosofía y Letras,"-99,19650548","19,33221916",  2018072900000000000
POINT(-99.1143072962847 19.4829236967614),"Casa de Cultura ""La Villa""","-99,1143073","19,4829237",  2018081000000000000
POINT(-99.2056112 19.4733689),Siervos de la Cultura:Cineclub,"-99,2056112","19,4733689",  2018081900000000000
POINT(-99.1633254769482 19.4178099265432),Rebelar,"-99,16332548","19,41780993",  2018090900000000000
POINT(-99.1359846809523 19.4362933852497),Cinema Queer México,"-99,13598468","19,43629339",  2018111100000000000
POINT(-99.1278057612562 19.2480050058876),Conjunto Cultural Tepalcatlalpan,"-99,12780576","19,24800501",  2018120700000000000
POINT(-99.1812179944452 19.4033969662804),Cine club Elena Poniatowska,"-99,18121799","19,40339697",  2018120900000000000
POINT(-99.1641848830986 19.4270128168662),Cineclub Tornasolados: los colores de la diversidad,"-99,16418488","19,42701282",  2019010100000000000
POINT(-99.1502664413732 19.3509721456412),CineClubA7,"-99,15026644","19,35097215",  2019010100000000000
POINT(-99.1770320272559 19.4116437152205),Necios Bar ,"-99,17703203","19,41164372",  2019010800000000000
POINT(-99.0577138527189 19.4481264649606),Cinema Vagabunda,"-99,05771385","19,44812646",  2019010900000000000
POINT(-99.147062385566 19.4377071221992),Museo del Pulque y las Pulquerías,"-99,14706239","19,43770712",  2019020800000000000
POINT(-99.095990807033 19.3949008288734),Silvestre Revueltas,"-99,09599081","19,39490083",  2019020900000000000
POINT(-99.1541720647033 19.428868639924),Tertulias cinematográficas (El 77 Centro Cultural Autogestivo),"-99,15417206","19,42886864",  2019022300000000000
POINT(-99.1781203 19.3186969),Disidentas,"-99,1781203","19,3186969",  2019022800000000000
POINT(-99.1328383054266 19.5453409940626),Los carnales dos,"-99,13283831","19,54534099",  2019030100000000000
POINT(-99.1515717338586 19.3843464157741),Sin elipsis,"-99,15157173","19,38434642",  2019030800000000000
POINT(-99.1670039189255 19.2888403870231),MICAM,"-99,16700392","19,28884039",  2019031700000000000
POINT(-99.1542015035834 19.421827266778),ZIFF CINECLUB ,"-99,1542015","19,42182727",  2019040200000000000
POINT(-99.2411903430619 19.3049281646624),Cine Comunitario ,"-99,24119034","19,30492816",  2019041000000000000
POINT(-99.1007931900895 19.3596191480432),Cine club de la Casa de Cultura Guillermo Bonfil Batalla ,"-99,10079319","19,35961915",  2019041500000000000
POINT(-99.0603397030294 19.2936800649936),Cineclub Viaje Submarino (Casa de Cultura Diego Rivera),"-99,0603397","19,29368006",  2019041500000000000
POINT(-99.0577530490241 19.2946073317278),Casa de Cultura Juan Manuel Martínez,"-99,05775305","19,29460733",  2019041600000000000
POINT(-99.058789584536 19.3056703083862),"Cineclub ""Conejo en la Luna"" (Casa de cultura Los Olivos)","-99,05878958","19,30567031",  2019041700000000000
POINT(-99.0145018306073 19.291157914129),Casa de Cultura Frida Kahlo,"-99,01450183","19,29115791",  2019041800000000000
POINT(-98.9685973450387 19.3090877203573),Cine Club Santa (Centro Cultural Santa Catarina),"-98,96859735","19,30908772",  2019041900000000000
POINT(-99.0366803247993 19.3005390730201),Centro Cultural Zapotitlán,"-99,03668032","19,30053907",  2019042000000000000
POINT(-98.9966946 19.2695542),"Biblioteca ""José Martí""","-98,9966946","19,2695542",  2019042100000000000
POINT(-99.1504363203674 19.3507868278217),CineClubA7,"-99,15043632","19,35078683",  2019050400000000000
POINT(-99.1174330612533 19.4279641946562),Cinequimera IEMS Preparatoria José Revueltas Sánchez,"-99,11743306","19,42796419",  2019051500000000000
POINT(-98.9649115 19.2253299),Museo Andrés Quintana Roo,"-98,9649115","19,2253299",  2019051600000000000
POINT(-99.1852112 19.4839412),Videoteca Manuel Álvarez Bravo ,"-99,1852112","19,4839412",  2019053000000000000
POINT(-99.1195113091654 19.3718517470801),Casa de Cultura El Sifón,"-99,11951131","19,37185175",  2019060600000000000
POINT(-99.1313185 19.4519111),Ciclo de cine en el Museo Indígena del INPI,"-99,1313185","19,4519111",  2019060600000000000
POINT(-99.0114648046514 19.254901680269),Cine Tlacuache,"-99,0114648","19,25490168",  2019061000000000000
POINT(-99.0463356371177 19.2859048221914),Cinema Faraíso en Faro Tláhuac,"-99,04633564","19,28590482",  2019062700000000000
POINT(-99.1177736035832 19.4304734308962),Cineteca San Lazaro,"-99,1177736","19,43047343",  2019070200000000000
POINT(-99.1609070106616 19.4121548015831),Cine Debate at Poch@ House,"-99,16090701","19,4121548",  2019070700000000000
POINT(-99.1897902690001 19.3453485065636),Cine Club El Carmen en Familia ,"-99,18979027","19,34534851",  2019071800000000000
POINT(-99.1564570477593 19.3767070103194),Cinefilia Amerike ,"-99,15645705","19,37670701",  2019072800000000000
POINT(-99.1639295 19.4181733),We Are Todos,"-99,1639295","19,4181733",  2019090800000000000
POINT(-99.1425693671187 19.3642683788065),"Cineclub ""Cinema Verde""","-99,14256937","19,36426838",  2019091100000000000
POINT(-99.200750547758 19.4535628780238),Cine club Butaca Serdán- Preparatoria Carmen Serdán IEMS,"-99,20075055","19,45356288",  2019112700000000000
POINT(-99.1898900473505 19.3859392548323),Centro Cultural La Pirámide ,"-99,18989005","19,38593925",  2020010700000000000
POINT(-99.1338874324182 19.4319970711719),Cine Ágora,"-99,13388743","19,43199707",  2020012100000000000
POINT(-99.1696613002616 19.4488764779393),Cine Club Rosario Castellanos,"-99,1696613","19,44887648",  2020021000000000000
POINT(-99.1851047423247 19.3760818116018),Cineclub Mora (espacio de exhibición),"-99,18510474","19,37608181",  2020021300000000000
POINT(-99.1612465170791 19.3644782760022),Cineclub CT6,"-99,16124652","19,36447828",  2020032000000000000
POINT(-99.118552190091 19.2633237325199),Cine Club Comunitario Madeja de Ideas,"-99,11855219","19,26332373",  2020041200000000000
POINT(-99.1312573765934 19.4325968467038),Cineclub Ellas Dirigen,"-99,13125738","19,43259685",  2020050100000000000
POINT(-99.0917568170776 19.460954515536),FARO Aragón ,"-99,09175682","19,46095452",  2020050200000000000
POINT(-99.1982025700997 19.4531819026738),CINE CON-SENTIDO,"-99,19820257","19,4531819",  2020070100000000000
POINT(-99.1023745250061 19.3034916838931),Cineclub Sin Límites UAM-X (Comunicación),"-99,10237453","19,30349168",  2020090900000000000
POINT(-99.1022916185168 19.3036968235709),Cine Foro UPAVIG,"-99,10229162","19,30369682",  2020092600000000000
POINT(-99.1438605426153 19.429856198866),Artesanas Colectiva                     (Punto Gozadera),"-99,14386054","19,4298562",  2020093000000000000
POINT(-99.1348681515319 19.4879449434441),Cineclub TAC toma de acción comunitaria,"-99,13486815","19,48794494",  2020101400000000000
POINT(-99.0416738784395 19.3841103540353),Cine Comunitario CABEZA DE JUÁREZ,"-99,04167388","19,38411035",  2020110100000000000
POINT(-99.1448287 19.4229482),Sueños libres (Centro Urbano Doctores) ,"-99,1448287","19,4229482",  2020110800000000000
POINT(-99.0054509068773 19.2742504217114),Cineclub Cotidiano Crew,"-99,00545091","19,27425042",  2020110800000000000
POINT(-99.1661622747479 19.4438369888628),FARO Cosmos,"-99,16616227","19,44383699",  2021032100000000000
POINT(-99.0489941013195 19.3622319225975),Cineclub en Linea (El Transformador- Centro de Artes y Oficios),"-99,0489941","19,36223192",  2021040900000000000
POINT(-99.1844156935196 19.4033687689994),Cineclub Micelio,"-99,18441569","19,40336877",  2021040900000000000
